tick,hp,checkpoint,no_progress,fall_like,deaths_est,use_item_cd,side_pref
600,5.000,0,601,11,0,8,-0.0000
600,5.000,0,601,10,0,8,-0.0000
600,5.000,0,601,11,0,8,0.0000
600,5.000,0,601,10,0,8,0.0000
630,5.000,0,631,11,0,8,-0.0000
630,5.000,0,631,12,0,8,-0.0000
630,0.000,0,631,12,0,8,0.0000
630,5.000,0,631,10,0,8,0.0000
660,5.000,0,661,12,0,8,-0.0000
660,5.000,0,661,11,0,8,0.0000
660,5.000,0,661,11,0,8,-0.0000
660,5.000,0,661,12,0,8,0.0000
690,5.000,0,691,13,0,8,-0.0000
690,5.000,0,691,11,0,8,0.0000
690,0.000,0,691,13,0,8,0.0000
690,5.000,0,691,12,0,8,-0.0000
720,5.000,0,721,13,0,8,0.0000
720,5.000,0,721,12,0,8,-0.0000
720,0.000,0,721,14,0,8,-0.0000
720,5.000,0,721,12,0,8,0.0000
750,0.000,0,751,14,0,8,0.0000
750,5.000,0,751,12,0,8,0.0000
750,5.000,0,751,14,0,8,-0.0000
750,5.000,0,751,13,0,8,-0.0000
0,5.000,0,1,1,0,4,0,23,-0.1138
0,5.000,0,1,1,0,4,0,10,0.2161
0,5.000,0,1,1,0,4,0,19,-0.1035
0,5.000,0,1,1,0,4,0,25,0.1754
30,5.000,0,31,1,0,4,0,25,0.1754
30,5.000,0,31,1,0,4,0,23,-0.1138
30,5.000,0,31,1,0,4,0,10,0.2161
30,5.000,0,31,1,0,4,0,19,-0.1035
60,0.000,0,61,2,0,3,0,25,0.1754
60,5.000,0,61,2,0,3,0,10,0.2161
60,5.000,0,61,2,0,3,0,23,-0.1138
60,5.000,0,61,2,0,3,0,19,-0.1035
90,5.000,0,91,2,0,3,0,10,0.2161
90,5.000,0,91,2,0,3,0,19,-0.1035
90,5.000,0,91,2,0,3,0,23,-0.1138
90,5.000,0,91,2,0,3,0,25,0.1754
120,5.000,0,121,3,0,2,0,23,-0.1138
120,5.000,0,121,3,0,2,0,10,0.2161
120,5.000,0,121,3,0,2,0,19,-0.1035
120,5.000,0,121,2,0,3,0,25,0.1754
150,5.000,0,151,3,0,2,0,8,0.0003
150,5.000,0,151,3,0,2,0,8,0.0002
150,0.000,0,151,4,0,1,0,8,-0.0001
150,5.000,0,151,3,0,2,0,8,-0.0001
180,5.000,0,181,4,0,1,0,8,-0.0000
180,5.000,0,181,3,0,2,0,8,0.0000
180,5.000,0,181,4,0,1,0,8,0.0000
180,5.000,0,181,4,0,1,0,8,-0.0000
210,5.000,0,211,4,0,1,0,8,0.0000
210,5.000,0,211,4,0,1,0,8,0.0000
210,5.000,0,211,4,0,1,0,8,-0.0000
240,5.000,0,241,4,0,1,0,8,0.0000
0,5.000,0,1,1,0,5,0,17,-0.0694
0,5.000,0,1,1,0,5,0,19,0.2172
0,5.000,0,1,1,0,5,0,22,0.1750
0,5.000,0,1,1,0,5,0,13,-0.3173
30,5.000,0,31,1,0,5,0,13,-0.3173
30,5.000,0,31,1,0,5,0,17,-0.0694
30,5.000,0,31,1,0,5,0,22,0.1750
30,5.000,0,31,1,0,5,0,19,0.2172
60,5.000,1,4,1,0,5,0,22,0.1750
60,0.000,0,61,2,0,4,0,19,0.2172
60,5.000,0,61,1,0,5,0,13,-0.3173
60,5.000,0,61,1,0,5,0,17,-0.0694
90,5.000,0,91,2,0,4,0,19,0.2172
90,5.000,0,91,2,0,4,0,17,-0.0694
90,5.000,1,34,2,0,4,0,22,0.1750
90,5.000,0,91,2,0,4,0,13,-0.3173
120,5.000,0,121,2,0,4,0,13,-0.3173
120,0.000,0,121,3,0,4,0,17,-0.0694
120,5.000,1,64,2,0,4,0,22,0.1750
120,0.000,0,121,3,0,4,0,19,0.2172
150,5.000,0,151,3,0,4,0,8,-0.0004
150,5.000,0,151,3,0,4,0,8,-0.0001
150,5.000,0,151,3,0,4,0,8,0.0003
150,5.000,1,94,3,0,4,0,22,0.1750
180,5.000,0,181,3,0,4,0,8,-0.0000
180,5.000,1,124,3,0,4,0,19,0.0896
180,0.000,0,181,4,0,3,0,8,0.0000
180,0.000,0,181,4,0,3,0,8,-0.0000
210,5.000,0,211,4,0,3,0,8,0.0000
210,5.000,1,154,4,0,3,0,8,0.0001
210,5.000,0,211,4,0,3,0,8,-0.0000
210,5.000,0,211,4,0,3,0,8,-0.0000
240,5.000,0,241,4,0,3,0,8,-0.0000
240,5.000,1,184,4,0,3,0,8,0.0000
240,5.000,0,241,5,0,3,0,8,-0.0000
240,0.000,0,241,5,0,3,0,8,0.0000
270,5.000,0,271,5,0,3,0,8,-0.0000
270,5.000,1,214,5,0,3,0,8,0.0000
270,5.000,0,271,5,0,3,0,8,0.0000
270,5.000,0,271,5,0,3,0,8,-0.0000
300,5.000,0,301,5,0,3,0,8,-0.0000
300,5.000,0,301,6,0,2,0,8,-0.0000
300,5.000,1,244,5,0,3,0,8,0.0000
300,0.000,0,301,6,0,2,0,8,0.0000
0,5.000,0,1,1,0,5,0,20,-0.1410
0,5.000,0,1,1,0,5,0,16,-0.0277
0,5.000,0,1,1,0,5,0,25,0.0580
0,5.000,0,1,1,0,5,0,21,-0.1976
30,5.000,0,31,1,0,5,0,20,-0.1410
30,5.000,0,31,1,0,5,0,25,0.0580
30,5.000,0,31,1,0,5,0,21,-0.1976
30,5.000,0,31,1,0,5,0,16,-0.0277
60,5.000,0,61,1,0,5,0,21,-0.1976
60,0.000,0,61,2,0,4,0,20,-0.1410
60,5.000,0,61,1,0,5,0,25,0.0580
60,5.000,0,61,1,0,5,0,16,-0.0277
90,5.000,0,91,2,0,4,0,21,-0.1976
90,5.000,0,91,1,0,5,0,25,0.0580
90,5.000,0,91,2,0,4,0,20,-0.1410
90,5.000,0,91,2,0,4,0,16,-0.0277
120,5.000,0,121,2,0,4,0,25,0.0580
120,0.000,0,121,3,0,4,0,21,-0.1976
120,0.000,0,121,3,0,4,0,20,-0.1410
120,5.000,0,121,2,0,4,0,16,-0.0277
150,5.000,0,151,3,0,4,0,8,-0.0002
150,5.000,0,151,2,0,4,0,8,0.0001
150,5.000,0,151,3,0,4,0,8,-0.0000
150,5.000,0,151,3,0,4,0,8,-0.0002
180,5.000,0,181,3,0,4,0,8,0.0000
180,0.000,0,181,4,0,3,0,8,-0.0000
180,5.000,0,181,4,0,3,0,8,-0.0000
180,5.000,0,181,3,0,4,0,8,-0.0000
210,5.000,0,211,4,0,3,0,8,-0.0000
210,0.000,0,211,4,0,3,0,8,0.0000
210,5.000,0,211,4,0,3,0,8,-0.0000
210,5.000,0,211,4,0,3,0,8,-0.0000
0,5.000,0,1,1,0,5,0,21,-0.0547
30,5.000,0,31,2,0,4,0,21,-0.0547
60,5.000,0,61,3,0,4,0,21,-0.0547
90,5.000,0,91,4,0,4,0,21,-0.0547
120,5.000,0,121,5,0,4,0,21,-0.0547
150,5.000,0,151,6,0,3,0,8,-0.0001
180,5.000,0,181,7,0,3,0,8,-0.0000
210,5.000,0,211,8,0,3,0,8,-0.0000
0,5.000,0,1,1,0,4,0,21,-0.0772
30,5.000,0,31,2,0,4,0,21,-0.0772
60,5.000,0,61,3,0,3,0,21,-0.0772
90,5.000,0,91,4,0,3,0,21,-0.0772
120,5.000,0,121,5,0,2,0,21,-0.0772
150,5.000,0,151,6,0,2,0,8,-0.0001
180,5.000,0,181,7,0,1,0,8,-0.0000
210,5.000,0,211,8,0,1,0,8,-0.0000
0,5.000,0,1,9,0,4,0,8,-0.0000
30,5.000,0,31,10,0,4,0,8,-0.0000
60,5.000,0,61,11,0,3,0,8,-0.0000
90,5.000,0,91,12,0,3,0,8,-0.0000
120,5.000,0,121,13,0,2,0,8,-0.0000
150,5.000,0,151,14,0,2,0,8,-0.0000
180,5.000,0,181,15,0,1,0,8,-0.0000
210,0.000,0,211,16,11,1,0,8,-0.0000
0,5.000,0,1,1,0,4,0,23,-0.3458
30,5.000,0,31,2,0,4,0,23,-0.3458
60,5.000,0,61,3,0,3,0,23,-0.3458
90,5.000,0,91,4,0,3,0,23,-0.3458
120,5.000,0,121,5,0,2,0,23,-0.3458
150,5.000,0,151,6,0,2,0,8,-0.0004
180,5.000,0,181,7,0,1,0,8,-0.0000
210,5.000,0,211,8,0,1,0,8,-0.0000
