11400,110.1879,30.1842
11500,89.7671,35.3801
11600,107.9803,37.4646
11700,60.6112,33.5537
11800,30.6446,6.1298
11900,45.1134,15.7266
12000,110.7930,36.8316
12100,117.1027,37.8734
12200,109.0193,42.4876
12300,33.6307,9.1804
12400,33.9078,8.6311
12500,120.1693,43.3505
12600,123.8379,40.2637
12700,94.7564,38.4264
12800,108.4144,39.8128
12900,120.9415,39.6506
13000,96.3017,33.9878
13100,63.1254,33.5101
13200,34.3199,8.2753
13300,72.5465,33.5209
13400,68.4536,29.6867
13500,33.0087,10.9210
13600,92.7429,33.3987
13700,34.9708,10.3936
13800,105.2872,35.0677
13900,91.4583,40.4706
14000,109.0410,37.3036
14100,112.0075,37.7044
14200,81.9184,39.5053
14300,110.3924,30.0670
14400,107.3525,39.7848
14500,52.8012,25.8228
14600,37.1072,12.9694
14700,89.8485,35.1653
14800,122.3569,40.6813
14900,105.4986,34.8794
15000,81.7702,36.6414
15100,93.8727,35.2720
15200,66.8185,31.5914
15300,48.5125,18.5494
15400,104.3223,34.7814
15500,121.0018,37.3668
15600,98.5160,37.6280
15700,74.6902,35.3287
15800,58.6785,27.6908
15900,34.5326,8.6929
16000,60.1980,25.9295
16100,96.5292,36.7846
16200,44.7834,19.0807
16300,29.2424,8.2001
16400,33.6786,8.1004
16500,113.8824,38.2244
16600,94.9562,36.3638
16700,41.8099,20.7144
16800,59.0372,33.8439
16900,106.3659,33.9855
17000,99.8450,35.4576
17100,122.3707,40.2809
17200,98.8777,42.1482
17300,109.6304,38.2430
17400,82.0695,35.6726
17500,83.9376,33.4064
17600,70.7149,35.8675
17700,95.7477,40.4026
17800,105.1168,38.0094
17900,115.7973,37.4819
18000,94.5602,29.4403
18100,95.0462,37.4113
18200,78.3185,42.6039
18300,71.0980,33.3806
18400,66.6143,24.0560
18500,73.2779,32.0975
18600,96.1127,34.9598
18700,76.3773,23.0846
18800,32.3058,7.5020
18900,81.8054,45.0205
19000,89.9402,38.0874
19100,99.4940,36.6963
19200,72.5044,44.5250
19300,92.4381,51.4661
19400,112.2452,37.0084
19500,110.8468,35.1448
19600,126.1017,33.8872
19700,52.7086,27.6252
19800,30.3070,6.6990
19900,30.1030,9.2036
20000,85.4997,35.2859
20100,92.4337,50.4657
20200,122.4880,31.7960
20300,56.7139,26.7233
20400,110.7025,37.4763
20500,110.4762,34.1755
20600,125.6263,40.1070
20700,127.9502,36.7594
20800,124.0967,35.1479
20900,116.1829,34.6350
21000,109.0015,31.4486
21100,125.1963,33.0014
21200,122.5974,33.6691
21300,130.6935,33.9178
21400,132.1484,35.5696
21500,126.3606,35.6648
21600,131.3812,41.2037
21700,127.9656,38.7944
21800,129.8225,37.9948
21900,125.8200,37.7258
22000,134.9990,40.0154
22100,126.9809,36.2310
22200,128.1818,38.0464
22300,125.6234,39.6949
22400,116.2824,39.8317
22500,129.6693,33.1264
22600,110.0918,38.4629
22700,72.3823,29.9943
22800,36.6364,12.0923
22900,38.4520,13.2178
23000,117.1587,42.1095
23100,103.9011,32.3216
23200,128.4910,37.5745
23300,135.1866,37.0023
23400,137.0836,36.9000
23500,127.8871,41.1615
23600,136.5770,43.1069
23700,129.6131,38.1179
23800,125.2469,37.4629
23900,134.5387,33.8817
24000,125.2749,32.6819
24100,146.7558,37.4481
24200,138.2225,37.7290
24300,134.3400,36.7318
24400,132.1923,38.4870
24500,138.4439,37.3003
24600,134.9038,39.0360
24700,137.2414,37.2310
24800,139.9316,33.5992
24900,143.5546,33.7758
25000,142.4546,36.4152
25100,145.7529,38.4176
25200,143.1183,38.3867
25300,147.6106,42.0101
25400,144.3199,38.0267
25500,138.9085,36.6009
25600,148.0415,36.3426
25700,150.8994,34.4516
25800,142.4236,39.7515
25900,153.6385,40.9175
26000,146.1796,40.6182
26100,138.1272,38.2257
26200,147.5766,38.2179
26300,149.2988,37.1548
26400,141.7968,39.9946
26500,148.4653,36.7142
26600,148.8990,40.2262
26700,151.7609,32.5996
26800,140.4397,36.9848
26900,146.1706,34.4879
27000,141.5401,37.7745
27100,146.8749,37.6213
27200,143.7575,37.6496
27300,140.8224,35.5340
27400,133.8055,38.0490
27500,148.4716,33.8622
27600,142.6799,37.1777
27700,153.9567,37.2310
27800,154.6771,37.4070
27900,148.5525,36.6723
28000,143.3462,33.0930
28100,151.4762,39.0021
28200,156.5809,34.3943
28300,151.5011,38.7526
28400,149.8759,37.6910
28500,149.8377,35.3075
28600,144.7385,41.0676
28700,152.7733,35.5208
28800,148.4067,38.7764
28900,151.3640,37.4020
29000,151.3155,34.4933
29100,146.4407,36.1192
29200,155.1186,38.1146
29300,158.1358,34.5142
29400,160.1440,41.1482
29500,147.6300,34.3975
29600,158.0899,41.9669
29700,147.4211,37.8475
29800,151.6364,35.6755
29900,152.5641,39.1043
